Слово,Словарь тихонова,Словарь CrossLexica,POS
демонстратор, демонстр:ROOT/атор:SUFF, демонстр:ROOT/ат:SUFF/ор:SUFF, NOUN
почтительность, по:PREF/чт:ROOT/и:SUFF/тельн:SUFF/ость:SUFF, по:PREF/чт:ROOT/итель:SUFF/н:SUFF/ост:SUFF/ь:END, NOUN
статут, статут:ROOT, стат:ROOT/ут:SUFF, NOUN
вычерпывание, вы:PREF/черп:ROOT/ыва:SUFF/ни:SUFF/е:END, вы:PREF/черп:ROOT/ыв:SUFF/ани:SUFF/е:END, NOUN
описание, о:PREF/пис:ROOT/а:SUFF/ни:SUFF/е:END, о:PREF/пис:ROOT/ани:SUFF/е:END, NOUN
усмешка, у:PREF/сме:ROOT/ш:SUFF/к:SUFF/а:END, у:PREF/смеш:ROOT/к:SUFF/а:END, NOUN
преемник, преем:ROOT/ник:SUFF, пре:PREF/ем:ROOT/ник:SUFF, NOUN
преобразователь, пре:PREF/образова:ROOT/тель:SUFF, пре:PREF/образ:ROOT/ов:SUFF/ател:SUFF/ь:END, NOUN
именины, им:ROOT/ен:SUFF/ин:SUFF/ы:END, имен:ROOT/ин:SUFF/ы:END, NOUN
признак, признак:ROOT, при:PREF/знак:ROOT, NOUN
искатель, иск:ROOT/а:SUFF/тель:SUFF, иск:ROOT/ател:SUFF/ь:END, NOUN
крышка, кры:ROOT/шк:SUFF/а:END, крыш:ROOT/к:SUFF/а:END, NOUN
прикармливание, при:PREF/кармл:ROOT/ива:SUFF/ни:SUFF/е:END, при:PREF/кармл:ROOT/ив:SUFF/ани:SUFF/е:END, NOUN
отдушина, отдуш:ROOT/ин:SUFF/а:END, от:PREF/душ:ROOT/ин:SUFF/а:END, NOUN
возведение, воз:PREF/вед:ROOT/ени:SUFF/е:END, воз:PREF/вед:ROOT/ен:SUFF/и:SUFF/е:END, NOUN
слив, с:PREF/ли:ROOT/в:SUFF, с:PREF/лив:ROOT, NOUN
вкатывание, в:PREF/кат:ROOT/ыва:SUFF/ни:SUFF/е:END, в:PREF/кат:ROOT/ыва:SUFF/н:SUFF/и:SUFF/е:END, NOUN
предъявитель, предъяв:ROOT/и:SUFF/тель:SUFF, предъ:PREF/яв:ROOT/ител:SUFF/ь:END, NOUN
пластинка, пластин:ROOT/к:SUFF/а:END, пласт:ROOT/ин:SUFF/к:SUFF/а:END, NOUN
забой, за:PREF/бой:ROOT, за:PREF/бо:ROOT/й:END, NOUN
ступень, ступень:ROOT, ступ:ROOT/ен:SUFF/ь:END, NOUN
причастник, причаст:ROOT/ник:SUFF, при:PREF/част:ROOT/ник:SUFF, NOUN
фантаст, фантаст:ROOT, фант:ROOT/аст:SUFF, NOUN
криминалист, криминал:ROOT/ист:SUFF, кримин:ROOT/ал:SUFF/ист:SUFF, NOUN
ввертывание, в:PREF/верт:ROOT/ыва:SUFF/ни:SUFF/е:END, в:PREF/верт:ROOT/ыв:SUFF/ани:SUFF/е:END, NOUN
пластина, пластин:ROOT/а:END, пласт:ROOT/ин:SUFF/а:END, NOUN
приемник, прием:ROOT/ник:SUFF, при:PREF/ем:ROOT/ник:SUFF, NOUN
манерность, манер:ROOT/н:SUFF/ость:SUFF, манер:ROOT/н:SUFF/ост:SUFF/ь:END, NOUN
договоренность, до:PREF/говор:ROOT/енн:SUFF/ость:SUFF, до:PREF/говор:ROOT/енн:SUFF/ост:SUFF/ь:END, NOUN
погрешность, по:PREF/греш:ROOT/н:SUFF/ость:SUFF, по:PREF/греш:ROOT/н:SUFF/ост:SUFF/ь:END, NOUN
расписание, рас:PREF/пис:ROOT/а:SUFF/ни:SUFF/е:END, рас:PREF/пис:ROOT/ани:SUFF/е:END, NOUN
плеть, плеть:ROOT, плет:ROOT/ь:END, NOUN
заискивание, заиск:ROOT/ива:SUFF/ни:SUFF/е:END, за:PREF/иск:ROOT/ив:SUFF/ани:SUFF/е:END, NOUN
отвешивание, от:PREF/веш:ROOT/ива:SUFF/ни:SUFF/е:END, от:PREF/веш:ROOT/ив:SUFF/ани:SUFF/е:END, NOUN
раздвоенность, раз:PREF/дв:ROOT/о:SUFF/енн:SUFF/ость:SUFF, раз:PREF/дво:ROOT/енн:SUFF/ост:SUFF/ь:END, NOUN
певчий, пе:ROOT/в:SUFF/ч:SUFF/ий:END, пев:ROOT/ч:SUFF/ий:END, NOUN
приваривание, при:PREF/вар:ROOT/ива:SUFF/ни:SUFF/е:END, при:PREF/вар:ROOT/ив:SUFF/ани:SUFF/е:END, NOUN
информатор, информ:ROOT/атор:SUFF, информ:ROOT/ат:SUFF/ор:SUFF, NOUN
сложность, сложн:ROOT/ость:SUFF, с:PREF/лож:ROOT/н:SUFF/ост:SUFF/ь:END, NOUN
ванночка, ванн:ROOT/очк:SUFF/а:END, ванн:ROOT/оч:SUFF/к:SUFF/а:END, NOUN
носитель, нос:ROOT/и:SUFF/тель:SUFF, нос:ROOT/ител:SUFF/ь:END, NOUN
показание, показ:ROOT/а:SUFF/ни:SUFF/е:END, по:PREF/каз:ROOT/ани:SUFF/е:END, NOUN
старание, стара:ROOT/ни:SUFF/е:END, стар:ROOT/ани:SUFF/е:END, NOUN
буханка, буханк:ROOT/а:END, бух:ROOT/ан:SUFF/к:SUFF/а:END, NOUN
сбивание, с:PREF/би:ROOT/ва:SUFF/ни:SUFF/е:END, с:PREF/бив:ROOT/ани:SUFF/е:END, NOUN
конек, кон:ROOT/ек:SUFF, конек:ROOT, NOUN
уступ, уступ:ROOT, у:PREF/ступ:ROOT, NOUN
больница, боль:ROOT/ниц:SUFF/а:END, боль:ROOT/н:SUFF/иц:SUFF/а:END, NOUN
сознание, созна:ROOT/ни:SUFF/е:END, со:PREF/зн:ROOT/ани:SUFF/е:END, NOUN
вертушка, верт:ROOT/ушк:SUFF/а:END, верт:ROOT/уш:SUFF/к:SUFF/а:END, NOUN
позвонок, позвонок:ROOT, по:PREF/звон:ROOT/ок:SUFF, NOUN
рассудительность, рас:PREF/суд:ROOT/и:SUFF/тельн:SUFF/ость:SUFF, рас:PREF/суд:ROOT/итель:SUFF/н:SUFF/ост:SUFF/ь:END, NOUN
избиратель, из:PREF/бир:ROOT/а:SUFF/тель:SUFF, из:PREF/бир:ROOT/ател:SUFF/ь:END, NOUN
буйволенок, буйвол:ROOT/енок:SUFF, буйвол:ROOT/ен:SUFF/ок:SUFF, NOUN
опыт, опыт:ROOT, о:PREF/пыт:ROOT, NOUN
пенсионерка, пенси:ROOT/он:SUFF/ер:SUFF/к:SUFF/а:END, пенс:ROOT/ион:SUFF/ер:SUFF/к:SUFF/а:END, NOUN
словесность, слов:ROOT/ес:ROOT/н:SUFF/ость:SUFF, слов:ROOT/ес:SUFF/н:SUFF/ост:SUFF/ь:END, NOUN
убожество, убож:ROOT/еств:SUFF/о:END, у:PREF/бож:ROOT/еств:SUFF/о:END, NOUN
аккуратность, аккуратн:ROOT/ость:SUFF, аккурат:ROOT/н:SUFF/ост:SUFF/ь:END, NOUN
бронирование, брон:ROOT/ир:SUFF/ова:SUFF/ни:SUFF/е:END, брон:ROOT/ир:SUFF/ов:SUFF/ани:SUFF/е:END, NOUN
столешница, стол:ROOT/еш:ROOT/ниц:SUFF/а:END, стол:ROOT/еш:SUFF/н:SUFF/иц:SUFF/а:END, NOUN
бочечка, бочеч:ROOT/к:SUFF/а:END, боч:ROOT/еч:SUFF/к:SUFF/а:END, NOUN
белуха, белух:ROOT/а:END, бел:ROOT/ух:SUFF/а:END, NOUN
жилища, жи:ROOT/л:SUFF/ищ:SUFF/а:END, жил:ROOT/ищ:SUFF/а:END, NOUN
утверждение, утвержд:ROOT/ени:SUFF/е:END, у:PREF/твержд:ROOT/ени:SUFF/е:END, NOUN
надой, на:PREF/дой:ROOT, на:PREF/до:ROOT/й:END, NOUN
умение, уме:ROOT/ни:SUFF/е:END, ум:ROOT/ени:SUFF/е:END, NOUN
материал, материал:ROOT, матер:ROOT/и:SUFF/ал:SUFF, NOUN
действенность, дей:ROOT/ств:SUFF/енн:SUFF/ость:SUFF, дей:ROOT/ств:SUFF/енн:SUFF/ост:SUFF/ь:END, NOUN
обручение, обруч:ROOT/ени:SUFF/е:END, об:PREF/руч:ROOT/ени:SUFF/е:END, NOUN
фамильярность, фамильярн:ROOT/ость:SUFF, фамиль:ROOT/яр:SUFF/н:SUFF/ост:SUFF/ь:END, NOUN
судок, суд:ROOT/ок:SUFF, суд:ROOT/ок:END, NOUN
площадка, площадк:ROOT/а:END, площ:ROOT/ад:SUFF/к:SUFF/а:END, NOUN
опекун, опек:ROOT/ун:SUFF, о:PREF/пек:ROOT/ун:SUFF, NOUN
автомобилизация, авто:ROOT/мобил:ROOT/из:SUFF/аци:SUFF/я:END, автомобил:ROOT/из:SUFF/аци:SUFF/я:END, NOUN
сортамент, сорт:ROOT/амент:SUFF, сорт:ROOT/ам:SUFF/ент:SUFF, NOUN
победа, побед:ROOT/а:END, по:PREF/бед:ROOT/а:END, NOUN
изувер, изувер:ROOT, из:PREF/у:SUFF/вер:ROOT, NOUN
активация, актив:ROOT/аци:SUFF/я:END, акт:ROOT/ив:SUFF/аци:SUFF/я:END, NOUN
улаживание, у:PREF/лаж:ROOT/ива:SUFF/ни:SUFF/е:END, у:PREF/лаж:ROOT/ив:SUFF/ани:SUFF/е:END, NOUN
бедняга, бедн:ROOT/яг:SUFF/а:END, бед:ROOT/н:SUFF/яг:SUFF/а:END, NOUN
абонемент, абон:ROOT/емент:SUFF, абон:ROOT/ем:SUFF/ент:SUFF, NOUN
позор, позор:ROOT, по:PREF/зор:ROOT, NOUN
хлопоты, хлопот:ROOT/ы:END, хлоп:ROOT/от:SUFF/ы:END, NOUN
заключение, заключ:ROOT/ени:SUFF/е:END, за:PREF/ключ:ROOT/ени:SUFF/е:END, NOUN
проституция, проститу:ROOT/ци:SUFF/я:END, про:PREF/стит:ROOT/уци:SUFF/я:END, NOUN
затмение, за:PREF/тм:ROOT/ени:SUFF/е:END, за:PREF/тмен:ROOT/и:SUFF/е:END, NOUN
театральность, театр:ROOT/аль:SUFF/н:SUFF/ость:SUFF, театр:ROOT/аль:SUFF/н:SUFF/ост:SUFF/ь:END, NOUN
грудница, груд:ROOT/ниц:SUFF/а:END, груд:ROOT/н:SUFF/иц:SUFF/а:END, NOUN
смятенность, смят:ROOT/енн:SUFF/ость:SUFF, с:PREF/мят:ROOT/енн:SUFF/ост:SUFF/ь:END, NOUN
хозяйка, хозяй:ROOT/к:SUFF/а:END, хоз:ROOT/яй:SUFF/к:SUFF/а:END, NOUN
рытвина, ры:ROOT/т:SUFF/в:SUFF/ин:SUFF/а:END, рыт:ROOT/в:SUFF/ин:SUFF/а:END, NOUN
убийство, убий:ROOT/ств:SUFF/о:END, у:PREF/бий:ROOT/ств:SUFF/о:END, NOUN
остаток, оста:ROOT/т:SUFF/ок:SUFF, о:PREF/стат:ROOT/ок:SUFF, NOUN
расстояние, расстояни:ROOT/е:END, рас:PREF/сто:ROOT/ян:SUFF/и:SUFF/е:END, NOUN
старательность, стара:ROOT/тельн:SUFF/ость:SUFF, стар:ROOT/атель:SUFF/н:SUFF/ост:SUFF/ь:END, NOUN
расстройка, рас:PREF/стройк:ROOT/а:END, рас:PREF/строй:ROOT/к:SUFF/а:END, NOUN
новаторство, нов:ROOT/атор:SUFF/ств:SUFF/о:END, нов:ROOT/ат:SUFF/ор:SUFF/ств:SUFF/о:END, NOUN
дедукция, дедукц:ROOT/и:SUFF/я:END, де:PREF/дукц:ROOT/и:SUFF/я:END, NOUN
барсучонок, барсуч:ROOT/онок:SUFF, барсуч:ROOT/он:SUFF/ок:SUFF, NOUN
пространность, пространн:ROOT/ость:SUFF, про:PREF/стран:ROOT/н:SUFF/ост:SUFF/ь:END, NOUN
пьяница, пь:ROOT/ян:SUFF/иц:SUFF/а:END, пьян:ROOT/иц:SUFF/а:END, NOUN
прибор, прибор:ROOT, при:PREF/бор:ROOT, NOUN
брикетирование, брикет:ROOT/ир:SUFF/ова:SUFF/ни:SUFF/е:END, брикет:ROOT/ир:SUFF/ов:SUFF/ани:SUFF/е:END, NOUN
веяние, ве:ROOT/я:SUFF/ни:SUFF/е:END, ве:ROOT/яни:SUFF/е:END, NOUN
вышивка, вы:PREF/ши:ROOT/в:SUFF/к:SUFF/а:END, вы:PREF/шив:ROOT/к:SUFF/а:END, NOUN
препозиция, пре:PREF/позици:ROOT/я:END, пре:PREF/поз:ROOT/ици:SUFF/я:END, NOUN
медальон, медальон:ROOT, медаль:ROOT/он:SUFF, NOUN
сырость, сыр:ROOT/ость:SUFF, сыр:ROOT/ост:SUFF/ь:END, NOUN
богач, богач:ROOT, бог:ROOT/ач:SUFF, NOUN
импликация, имплик:ROOT/аци:SUFF/я:END, им:PREF/плик:ROOT/аци:SUFF/я:END, NOUN
интроспекция, интро:ROOT/спекц:ROOT/и:SUFF/я:END, интро:PREF/спекц:ROOT/и:SUFF/я:END, NOUN
свинья, свинь:ROOT/я:END, свин:ROOT/ья:END, NOUN
комитет, комитет:ROOT, ко:PREF/мит:ROOT/ет:SUFF, NOUN
раковина, раковин:ROOT/а:END, рак:ROOT/ов:SUFF/ин:SUFF/а:END, NOUN
отвлеченность, от:PREF/влеч:ROOT/енн:SUFF/ость:SUFF, от:PREF/влеч:ROOT/енн:SUFF/ост:SUFF/ь:END, NOUN
следование, след:ROOT/ова:SUFF/ни:SUFF/е:END, след:ROOT/ов:SUFF/ани:SUFF/е:END, NOUN
преследование, преследова:ROOT/ни:SUFF/е:END, пре:PREF/след:ROOT/ов:SUFF/ани:SUFF/е:END, NOUN
ручательство, руч:ROOT/а:SUFF/тель:SUFF/ств:SUFF/о:END, руч:ROOT/атель:SUFF/ств:SUFF/о:END, NOUN
верстак, верстак:ROOT, верст:ROOT/ак:SUFF, NOUN
успокоение, у:PREF/споко:ROOT/ени:SUFF/е:END, у:PREF/с:SUFF/поко:ROOT/ени:SUFF/е:END, NOUN
ожесточение, о:PREF/жесточ:ROOT/ени:SUFF/е:END, о:PREF/жест:ROOT/оч:SUFF/ени:SUFF/е:END, NOUN
двойственность, дв:ROOT/ой:SUFF/ств:SUFF/енн:SUFF/ость:SUFF, двой:ROOT/ств:SUFF/енн:SUFF/ост:SUFF/ь:END, NOUN
продукт, продукт:ROOT, про:PREF/дукт:ROOT, NOUN
формула, формул:ROOT/а:END, форм:ROOT/ул:SUFF/а:END, NOUN
выгода, выгод:ROOT/а:END, вы:PREF/год:ROOT/а:END, NOUN
родинка, род:ROOT/инк:SUFF/а:END, род:ROOT/ин:SUFF/к:SUFF/а:END, NOUN
аккумулятор, аккумул:ROOT/ятор:SUFF, ак:PREF/кумул:ROOT/ят:SUFF/ор:SUFF, NOUN
расхождение, рас:PREF/хожд:ROOT/е:SUFF/ни:SUFF/е:END, рас:PREF/хожд:ROOT/ени:SUFF/е:END, NOUN
навоз, навоз:ROOT, на:PREF/воз:ROOT, NOUN
деловитость, дел:ROOT/овит:SUFF/ость:SUFF, дел:ROOT/ов:SUFF/ит:SUFF/ост:SUFF/ь:END, NOUN
хлопец, хлопец:ROOT, хлоп:ROOT/ец:SUFF, NOUN
бородавочка, бородавоч:ROOT/к:SUFF/а:END, бород:ROOT/ав:SUFF/оч:SUFF/к:SUFF/а:END, NOUN
удой, у:PREF/дой:ROOT, у:PREF/до:ROOT/й:END, NOUN
старость, стар:ROOT/ость:SUFF, стар:ROOT/ост:SUFF/ь:END, NOUN
разборчивость, раз:PREF/бор:ROOT/чив:SUFF/ость:SUFF, раз:PREF/бор:ROOT/чив:SUFF/ост:SUFF/ь:END, NOUN
соглашатель, соглаш:ROOT/а:SUFF/тель:SUFF, со:PREF/глаш:ROOT/ател:SUFF/ь:END, NOUN
гарантия, гаранти:ROOT/я:END, гарант:ROOT/и:SUFF/я:END, NOUN
вегетарианец, вегетари:ROOT/ан:SUFF/ец:SUFF, вег:ROOT/ет:SUFF/ариан:SUFF/ец:SUFF, NOUN
букашечка, букаш:ROOT/ечк:SUFF/а:END, букаш:ROOT/еч:SUFF/к:SUFF/а:END, NOUN
аутентификация, аутент:ROOT/ифик:SUFF/аци:SUFF/я:END, аутент:ROOT/иф:SUFF/ик:SUFF/аци:SUFF/я:END, NOUN
наливка, на:PREF/ли:ROOT/в:SUFF/к:SUFF/а:END, на:PREF/лив:ROOT/к:SUFF/а:END, NOUN
вымерзание, вы:PREF/мерз:ROOT/а:SUFF/ни:SUFF/е:END, вы:PREF/мерз:ROOT/ани:SUFF/е:END, NOUN
инспекция, инспекц:ROOT/и:SUFF/я:END, ин:PREF/спекц:ROOT/и:SUFF/я:END, NOUN
судилище, суд:ROOT/и:SUFF/л:SUFF/ищ:SUFF/е:END, суд:ROOT/ил:SUFF/ищ:SUFF/е:END, NOUN
деревня, деревн:ROOT/я:END, дерев:ROOT/н:SUFF/я:END, NOUN
объявление, объявл:ROOT/ени:SUFF/е:END, объ:PREF/явл:ROOT/ени:SUFF/е:END, NOUN
пропитывание, про:PREF/пит:ROOT/ыва:SUFF/ни:SUFF/е:END, про:PREF/пит:ROOT/ыв:SUFF/ани:SUFF/е:END, NOUN
опасность, опас:ROOT/н:SUFF/ость:SUFF, о:PREF/пас:ROOT/н:SUFF/ост:SUFF/ь:END, NOUN
горделивость, горд:ROOT/е:SUFF/лив:SUFF/ость:SUFF, горд:ROOT/ел:SUFF/ив:SUFF/ост:SUFF/ь:END, NOUN
втыкание, в:PREF/тык:ROOT/а:SUFF/ни:SUFF/е:END, в:PREF/тык:ROOT/ани:SUFF/е:END, NOUN
букварь, букв:ROOT/арь:SUFF, букв:ROOT/ар:SUFF/ь:END, NOUN
вероятность, вероят:ROOT/н:SUFF/ость:SUFF, веро:ROOT/ят:SUFF/н:SUFF/ост:SUFF/ь:END, NOUN
ударение, удар:ROOT/ени:SUFF/е:END, у:PREF/дар:ROOT/ени:SUFF/е:END, NOUN
нормирование, норм:ROOT/ир:SUFF/ова:SUFF/ни:SUFF/е:END, норм:ROOT/ир:SUFF/ов:SUFF/ани:SUFF/е:END, NOUN
пропозиция, про:PREF/позици:ROOT/я:END, про:PREF/поз:ROOT/ици:SUFF/я:END, NOUN
приписывание, при:PREF/пис:ROOT/ыва:SUFF/ни:SUFF/е:END, при:PREF/пис:ROOT/ыв:SUFF/ани:SUFF/е:END, NOUN
угольник, уголь:ROOT/ник:SUFF, угол:ROOT/ьн:SUFF/ик:SUFF, NOUN
агрессивность, агресс:ROOT/ивн:SUFF/ость:SUFF, агресс:ROOT/ивн:SUFF/ост:SUFF/ь:END, NOUN
биография, био:ROOT/граф:ROOT/и:SUFF/я:END, биограф:ROOT/и:SUFF/я:END, NOUN
протекция, протекци:ROOT/я:END, протекц:ROOT/и:SUFF/я:END, NOUN
сбыт, сбы:ROOT/т:SUFF, с:PREF/быт:ROOT, NOUN
речь, речь:ROOT, реч:ROOT/ь:END, NOUN
контакт, контакт:ROOT, кон:PREF/такт:ROOT, NOUN
повести, по:PREF/вес:ROOT/ти:SUFF, по:PREF/вест:ROOT/и:END, NOUN
требовательность, треб:ROOT/ова:SUFF/тельн:SUFF/ость:SUFF, треб:ROOT/ов:SUFF/атель:SUFF/н:SUFF/ост:SUFF/ь:END, NOUN
оппозиционер, оппозици:ROOT/он:SUFF/ер:SUFF, оп:PREF/поз:ROOT/ици:SUFF/он:SUFF/ер:SUFF, NOUN
содержание, содерж:ROOT/а:SUFF/ни:SUFF/е:END, со:PREF/держ:ROOT/ани:SUFF/е:END, NOUN
бревнышко, бревн:ROOT/ышк:SUFF/о:END, брев:ROOT/н:SUFF/ыш:SUFF/к:SUFF/о:END, NOUN
издание, изда:ROOT/ни:SUFF/е:END, из:PREF/дан:ROOT/и:SUFF/е:END, NOUN
закручивание, за:PREF/круч:ROOT/ива:SUFF/ни:SUFF/е:END, за:PREF/круч:ROOT/ива:SUFF/н:SUFF/и:SUFF/е:END, NOUN
усыхание, у:PREF/сых:ROOT/а:SUFF/ни:SUFF/е:END, у:PREF/сых:ROOT/ани:SUFF/е:END, NOUN
баскетболистка, баскет:ROOT/бол:ROOT/ист:SUFF/к:SUFF/а:END, баскетбол:ROOT/ист:SUFF/к:SUFF/а:END, NOUN
патетика, патетик:ROOT/а:END, пат:ROOT/ет:SUFF/ик:SUFF/а:END, NOUN
жилой, жи:ROOT/л:SUFF/ой:END, жил:ROOT/ой:END, NOUN
бедность, бедн:ROOT/ость:SUFF, бед:ROOT/н:SUFF/ост:SUFF/ь:END, NOUN
начальник, началь:ROOT/ник:SUFF, нач:ROOT/аль:SUFF/ник:SUFF, NOUN
уступчивость, уступ:ROOT/чив:SUFF/ость:SUFF, у:PREF/ступ:ROOT/чив:SUFF/ост:SUFF/ь:END, NOUN
домовитость, дом:ROOT/овит:SUFF/ость:SUFF, дом:ROOT/ов:SUFF/ит:SUFF/ост:SUFF/ь:END, NOUN
сложение, слож:ROOT/ени:SUFF/е:END, с:PREF/лож:ROOT/ени:SUFF/е:END, NOUN
заправка, заправ:ROOT/к:SUFF/а:END, за:PREF/прав:ROOT/к:SUFF/а:END, NOUN
живость, жи:ROOT/в:SUFF/ость:SUFF, жив:ROOT/ост:SUFF/ь:END, NOUN
наволочка, наволоч:ROOT/к:SUFF/а:END, на:PREF/волоч:ROOT/к:SUFF/а:END, NOUN
недобор, не:PREF/до:PREF/бор:ROOT, недо:PREF/бор:ROOT, NOUN
преступление, преступл:ROOT/ени:SUFF/е:END, пре:PREF/ступл:ROOT/ени:SUFF/е:END, NOUN
мальчик, мальчик:ROOT, маль:ROOT/чик:SUFF, NOUN
защитник, защит:ROOT/ник:SUFF, за:PREF/щит:ROOT/ник:SUFF, NOUN
обвинитель, об:PREF/вин:ROOT/и:SUFF/тель:SUFF, об:PREF/вин:ROOT/ител:SUFF/ь:END, NOUN
симпатия, симпати:ROOT/я:END, сим:PREF/пат:ROOT/и:SUFF/я:END, NOUN
твердость, тверд:ROOT/ость:SUFF, тверд:ROOT/ост:SUFF/ь:END, NOUN
просушивание, про:PREF/суш:ROOT/ива:SUFF/ни:SUFF/е:END, про:PREF/суш:ROOT/ив:SUFF/ани:SUFF/е:END, NOUN
колония, колони:ROOT/я:END, колон:ROOT/и:SUFF/я:END, NOUN
альпинист, альп:ROOT/ин:SUFF/ист:SUFF, альпин:ROOT/ист:SUFF, NOUN
хозяйствование, хозяй:ROOT/ств:SUFF/ова:SUFF/ни:SUFF/е:END, хоз:ROOT/яй:SUFF/ств:SUFF/ова:SUFF/н:SUFF/и:SUFF/е:END, NOUN
присутствие, при:PREF/сутств:ROOT/и:SUFF/е:END, при:PREF/сут:ROOT/ств:SUFF/и:SUFF/е:END, NOUN
пересыхание, пере:PREF/сых:ROOT/а:SUFF/ни:SUFF/е:END, пере:PREF/сых:ROOT/ани:SUFF/е:END, NOUN
проецирование, проец:ROOT/ир:SUFF/ова:SUFF/ни:SUFF/е:END, проец:ROOT/ир:SUFF/ов:SUFF/ани:SUFF/е:END, NOUN
наследственность, наслед:ROOT/ств:SUFF/енн:SUFF/ость:SUFF, на:PREF/след:ROOT/ств:SUFF/енн:SUFF/ост:SUFF/ь:END, NOUN
практик, практ:ROOT/ик:SUFF, практик:ROOT, NOUN
аполитичность, а:PREF/полит:ROOT/ич:SUFF/н:SUFF/ость:SUFF, а:PREF/полит:ROOT/ич:SUFF/н:SUFF/ост:SUFF/ь:END, NOUN
окружность, о:PREF/круж:ROOT/н:SUFF/ость:SUFF, о:PREF/круж:ROOT/н:SUFF/ост:SUFF/ь:END, NOUN
огрех, огрех:ROOT, о:PREF/грех:ROOT, NOUN
невинность, не:PREF/вин:ROOT/н:SUFF/ость:SUFF, не:PREF/вин:ROOT/н:SUFF/ост:SUFF/ь:END, NOUN
звучность, звуч:ROOT/н:SUFF/ость:SUFF, звуч:ROOT/н:SUFF/ост:SUFF/ь:END, NOUN
совмещение, совмещ:ROOT/ени:SUFF/е:END, со:PREF/в:SUFF/мещ:ROOT/ени:SUFF/е:END, NOUN
узнавание, у:PREF/зна:ROOT/ва:SUFF/ни:SUFF/е:END, у:PREF/зн:ROOT/ав:SUFF/ани:SUFF/е:END, NOUN
ступенька, ступень:ROOT/к:SUFF/а:END, ступ:ROOT/ень:SUFF/к:SUFF/а:END, NOUN
содействие, содейств:ROOT/и:SUFF/е:END, со:PREF/дей:ROOT/ств:SUFF/ие:END, NOUN
стандартность, стандарт:ROOT/н:SUFF/ость:SUFF, стандарт:ROOT/н:SUFF/ост:SUFF/ь:END, NOUN
спекуляция, спекул:ROOT/яци:SUFF/я:END, спекул:ROOT/яц:SUFF/и:SUFF/я:END, NOUN
оборванец, обо:PREF/рв:ROOT/а:SUFF/н:SUFF/ец:SUFF, обо:PREF/рв:ROOT/ан:SUFF/ец:SUFF, NOUN
звучание, звуч:ROOT/а:SUFF/ни:SUFF/е:END, звуч:ROOT/ани:SUFF/е:END, NOUN
венчик, вен:ROOT/ч:SUFF/ик:SUFF, вен:ROOT/чик:SUFF, NOUN
ломоть, лом:ROOT/оть:SUFF, лом:ROOT/от:SUFF/ь:END, NOUN
респиратор, респир:ROOT/атор:SUFF, ре:PREF/спир:ROOT/ат:SUFF/ор:SUFF, NOUN
афронт, афронт:ROOT, а:PREF/фронт:ROOT, NOUN
боязливость, бо:ROOT/я:SUFF/з:ROOT/лив:SUFF/ость:SUFF, бо:ROOT/язл:SUFF/ив:SUFF/ост:SUFF/ь:END, NOUN
навязывание, на:PREF/вяз:ROOT/ыва:SUFF/ни:SUFF/е:END, на:PREF/вяз:ROOT/ыв:SUFF/ани:SUFF/е:END, NOUN
выжимание, вы:PREF/жим:ROOT/а:SUFF/ни:SUFF/е:END, вы:PREF/жим:ROOT/ани:SUFF/е:END, NOUN
вещь, вещь:ROOT, вещ:ROOT/ь:END, NOUN
фанат, фанат:ROOT, фан:ROOT/ат:SUFF, NOUN
протягивание, про:PREF/тяг:ROOT/ива:SUFF/ни:SUFF/е:END, про:PREF/тяг:ROOT/ив:SUFF/ани:SUFF/е:END, NOUN
поводырь, по:PREF/вод:ROOT/ырь:SUFF, по:PREF/вод:ROOT/ыр:SUFF/ь:END, NOUN
повелитель, по:PREF/вел:ROOT/и:SUFF/тель:SUFF, по:PREF/вел:ROOT/ител:SUFF/ь:END, NOUN
откровение, откровен:ROOT/и:SUFF/е:END, от:PREF/кров:ROOT/ени:SUFF/е:END, NOUN
душитель, душ:ROOT/и:SUFF/тель:SUFF, душ:ROOT/ител:SUFF/ь:END, NOUN
прошивка, про:PREF/ши:ROOT/в:SUFF/к:SUFF/а:END, про:PREF/шив:ROOT/к:SUFF/а:END, NOUN
эмигрант, э:ROOT/мигр:ROOT/ант:SUFF, эмигр:ROOT/ант:SUFF, NOUN
коробочка, короб:ROOT/оч:SUFF/к:SUFF/а:END, короб:ROOT/очк:SUFF/а:END, NOUN
развращение, развращ:ROOT/ени:SUFF/е:END, раз:PREF/вращ:ROOT/ени:SUFF/е:END, NOUN
затыкание, за:PREF/тык:ROOT/а:SUFF/ни:SUFF/е:END, за:PREF/тык:ROOT/ани:SUFF/е:END, NOUN
консервирование, консерв:ROOT/ир:SUFF/ова:SUFF/ни:SUFF/е:END, кон:PREF/серв:ROOT/ир:SUFF/ов:SUFF/ани:SUFF/е:END, NOUN
трость, трость:ROOT, трост:ROOT/ь:END, NOUN
вдохновение, вдохнов:ROOT/ени:SUFF/е:END, в:PREF/дох:ROOT/н:SUFF/ов:SUFF/ени:SUFF/е:END, NOUN
уезд, уезд:ROOT, у:PREF/езд:ROOT, NOUN
пьянство, пь:ROOT/ян:SUFF/ств:SUFF/о:END, пьян:ROOT/ств:SUFF/о:END, NOUN
неисправность, не:PREF/ис:PREF/прав:ROOT/н:SUFF/ость:SUFF, не:PREF/ис:SUFF/прав:ROOT/н:SUFF/ост:SUFF/ь:END, NOUN
